日期	东北证券	东吴证券	中信证券	中国中期	中国人寿	中国平安	光大证券	兴业证券	国元证券	国海证券	国金证券	太平洋	山西证券	招商证券	方正证券	海通证券	西南证券	香溢融通	
2005-01-04	10.05	***	5.86	5.09	***	***	***	***	5.17	3.21	6.15	***	***	***	***	6.99	2.59	4.55	
2005-01-05	10.01	***	5.97	5.16	***	***	***	***	5.28	3.28	6.26	***	***	***	***	7.05	2.68	4.58	
2005-01-06	9.98	***	5.98	5.14	***	***	***	***	5.24	3.37	6.2	***	***	***	***	7.04	***	4.54	
2005-01-07	9.9	***	5.99	5.2	***	***	***	***	5.25	3.3	6.3	***	***	***	***	7.08	2.95	4.54	
2005-01-08	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	
2005-01-09	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	
2005-01-10	9.87	***	6.06	5.21	***	***	***	***	5.3	3.34	6.33	***	***	***	***	7.18	2.95	4.51	
2005-01-11	9.5	***	6.09	5.25	***	***	***	***	5.33	3.33	6.34	***	***	***	***	7.18	3.03	4.55	
2005-01-12	8.55	***	6.03	5.22	***	***	***	***	5.3	3.3	6.28	***	***	***	***	7.28	2.96	4.51	
2005-01-13	7.76	***	5.95	5.22	***	***	***	***	5.29	3.3	6.32	***	***	***	***	7.33	3.01	4.61	
2005-01-14	7.67	***	5.89	5.26	***	***	***	***	5.25	3.23	6.24	***	***	***	***	7.13	2.87	4.62	
2005-01-15	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	
2005-01-16	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	
2005-01-17	7.67	***	5.3	5.07	***	***	***	***	5.07	3.24	6	***	***	***	***	7	2.74	4.5	
2005-01-18	7.41	***	5.32	5.16	***	***	***	***	***	3.3	6.08	***	***	***	***	7.12	3.01	4.49	
2005-01-19	7.44	***	5.25	5.16	***	***	***	***	4.75	3.35	6.04	***	***	***	***	7.01	3.02	4.46	
2005-01-20	7.36	***	5.28	5.07	***	***	***	***	4.6	3.31	5.9	***	***	***	***	6.52	3	4.45	
2005-01-21	7.3	***	5.49	5.18	***	***	***	***	4.69	3.37	5.99	***	***	***	***	7.17	3.08	4.54	
2005-01-22	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	
2005-01-23	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	
2005-01-24	6.94	***	5.58	5.3	***	***	***	***	4.95	3.47	6.12	***	***	***	***	7.4	3.14	4.62	
2005-01-25	6.3	***	5.57	5.33	***	***	***	***	4.9	3.4	6.05	***	***	***	***	7.42	3.04	4.57	
2005-01-26	6.38	***	5.58	5.19	***	***	***	***	4.89	3.34	5.99	***	***	***	***	7.34	3.02	4.54	
2005-01-27	5.93	***	5.4	5.15	***	***	***	***	4.73	3.38	5.91	***	***	***	***	7.21	2.92	4.36	
2005-01-28	5.65	***	5.28	4.96	***	***	***	***	4.72	3.23	5.75	***	***	***	***	7.38	2.7	4.28	
2005-01-29	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	
2005-01-30	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	
2005-01-31	5.61	***	4.98	4.65	***	***	***	***	4.55	3.06	5.55	***	***	***	***	6.94	2.73	3.97	
2005-02-01	5.66	***	5	4.67	***	***	***	***	4.54	3.02	5.47	***	***	***	***	7.02	2.6	4.37	
2005-02-02	5.94	***	5.5	4.92	***	***	***	***	4.88	3.18	5.74	***	***	***	***	7.48	2.76	4.48	
2005-02-03	5.82	***	5.32	4.83	***	***	***	***	4.88	3.09	5.6	***	***	***	***	7.61	2.67	4.33	
2005-02-04	5.56	***	5.59	4.89	***	***	***	***	4.98	3.12	5.69	***	***	***	***	7.93	2.67	4.42	
2005-02-05	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	
2005-02-06	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	
2005-02-07	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	
2005-02-08	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	
2005-02-09	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	
2005-02-10	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	
2005-02-11	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	
2005-02-12	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	
2005-02-13	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	
2005-02-14	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	
2005-02-15	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	
2005-02-16	5.47	***	5.59	4.94	***	***	***	***	4.98	3.18	5.78	***	***	***	***	7.86	2.79	4.42	
2005-02-17	5.58	***	5.54	4.96	***	***	***	***	4.92	3.31	5.81	***	***	***	***	7.91	2.8	4.36	
2005-02-18	5.55	***	5.48	4.93	***	***	***	***	4.86	3.28	5.75	***	***	***	***	7.6	2.78	4.32	
2005-02-19	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	
2005-02-20	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	
2005-02-21	5.61	***	5.58	5.02	***	***	***	***	4.98	3.33	5.85	***	***	***	***	7.74	2.8	4.36	
2005-02-22	5.72	***	5.74	5.14	***	***	***	***	5.1	3.39	6	***	***	***	***	7.9	2.9	4.5	
2005-02-23	6.29	***	5.74	5.17	***	***	***	***	5.05	3.35	6.15	***	***	***	***	7.9	3.02	4.67	
2005-02-24	6.52	***	5.74	5.21	***	***	***	***	5.19	3.42	6.11	***	***	***	***	8.22	3.1	4.56	
2005-02-25	6.4	***	5.66	5.23	***	***	***	***	5.12	3.34	6.04	***	***	***	***	8.06	3.02	4.55	
2005-02-26	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	
2005-02-27	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	
2005-02-28	6.29	***	5.58	***	***	***	***	***	5.07	3.37	6.05	***	***	***	***	8	2.98	4.58	
2005-03-01	6.37	***	5.65	5.2	***	***	***	***	5.1	3.44	6.35	***	***	***	***	8.08	3.01	4.6	
2005-03-02	6.38	***	5.53	5.31	***	***	***	***	5.11	3.33	6.09	***	***	***	***	7.81	2.91	4.58	
2005-03-03	6.7	***	5.59	5.2	***	***	***	***	5.09	3.34	6.15	***	***	***	***	7.75	2.94	4.59	
2005-03-04	6.67	***	5.55	5.13	***	***	***	***	5.11	3.27	6.04	***	***	***	***	7.66	2.93	4.51	
2005-03-05	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	
2005-03-06	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	
2005-03-07	6.54	***	5.53	5.1	***	***	***	***	5.17	3.28	6.1	***	***	***	***	7.76	2.96	4.52	
2005-03-08	6.62	***	5.65	5.22	***	***	***	***	5.22	3.34	6.18	***	***	***	***	7.92	3	4.56	
2005-03-09	6.52	***	5.64	5.2	***	***	***	***	5.16	3.3	6.25	***	***	***	***	7.77	3.01	4.66	
2005-03-10	6.47	***	5.31	5.1	***	***	***	***	5.17	3.3	6.09	***	***	***	***	7.64	2.88	4.62	
2005-03-11	6.26	***	5.18	5.15	***	***	***	***	5.07	3.18	6.1	***	***	***	***	7.71	2.8	4.56	
2005-03-12	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	
2005-03-13	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	
2005-03-14	6.01	***	5.17	5.22	***	***	***	***	5.1	3.09	5.97	***	***	***	***	7.7	2.71	4.49	
2005-03-15	5.79	***	5.15	5.05	***	***	***	***	5.13	3.12	5.82	***	***	***	***	7.73	2.76	4.41	
2005-03-16	5.83	***	5.11	4.98	***	***	***	***	5.12	3.1	5.74	***	***	***	***	7.51	2.77	4.36	
